"sender_name","timestamp_ms","content","is_geoblocked_for_viewer","photosTimestamp","reactions","NumOfParticipants","MainFrom","share","videosTimestamp","call_duration","audioFilesTimestamp","is_unsent","app","person"
"",1533757555059,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487352027165,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487352002539,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351786293,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351750837,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351438088,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351410597,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351394012,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351343141,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351312387,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351248783,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351171704,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351140258,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1487351090998,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1486738686530,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1486730612792,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1486708779789,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1486708160324,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1486564817763,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1486564815563,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
"",1486564608208,"",FALSE,NA,NA,7,"konw_0001.json",NA,NA,NA,NA,NA,"ig","a"
